book_id,studio,total_score,reasoning,book_summary,genre_fit_score,genre_fit_reasoning,visual_story_adaptability_score,visual_story_adaptability_reasoning,audience_fit_score,audience_fit_reasoning,franchise_potential_score,franchise_potential_reasoning,budget_scale_fit_score,budget_scale_fit_reasoning,name_recognition_score,name_recognition_reasoning
neighbours-of-the-night__ady-endre__unk,A24,20.75,"This unverified title and author pairing does not align well with A24's noir thriller mandate; lack of confirmed plot makes reliable scoring impossible, and Ady's documented modernist work suggests poor fit for dark thriller adaptation.","Not confidently recognized—""Neighbours of the night"" by Endre Ady does not match any widely-documented work I can reliably identify. Ady (Hungarian writer, 1877-1919) is known for symbolist poetry and early modernist works, but this specific title and its plot/themes are not verifiable from available sources.",25,"Ady's documented works lean toward symbolist poetry and modernist drama, not noir thriller conventions; without confirmed plot details, genre alignment cannot be reliably assessed.",20,Early 20th-century Hungarian modernist/symbolist work likely prioritizes internal experience and language over cinematic visual storytelling.,15,Symbolist/modernist poetry from 1910s Hungary would have limited appeal to A24's 18-34 cinephile demographic without strong character-driven insider narrative.,10,"Dense, lyrical modernist work typically offers minimal world-building or sequel potential around an 'uncovering' plot driver.",35,"Small-town setting works budget-wise, but unconfirmed literary source material adds adaptation risk and uncertainty around scope.",30,"Endre Ady is recognized in literary circles as a major Hungarian modernist, but this title specifically is not a known classic to general audiences."
the-decameron-of-giovanni-boccaccio__boccaccio-giovanni__unk,A24,21.75,"The Decameron is a poorly fit for A24's dark noir-thriller mandate; it is a picaresque collection of unrelated tales with no detective protagonist, no conspiracy to uncover, and no unified dark tone.","The Decameron is a 14th-century Italian frame narrative in which ten young people fleeing plague-ridden Florence tell one hundred stories over ten days, spanning comedy, romance, tragedy, and bawdy tales with no overarching plot. It is a foundational work of Renaissance literature but is fundamentally a collection of disconnected novellas, not a single noir thriller or mystery narrative.",5,"The Decameron is episodic fiction with romance, comedy, and satire—not a noir thriller or detective mystery.",35,"While individual stories could be visually rich and period-beautiful, the collection lacks the dark, cohesive tone and cinematic momentum A24 typically pursues.",15,A24's 18-34 cinephile audience expects character-driven narratives; a sprawling collection of strangers telling unrelated tales won't resonate as an 'insider uncovering' anything.,10,"The frame structure offers no cumulative mystery, conspiracy, or world-building; each story is self-contained with no 'uncovering' arc to sustain sequels.",45,"A small-town setting could fit A24's budget, but adapting this as a small-town thriller would require inventing a unifying plot entirely absent from the source.",75,"The Decameron is a canonical Renaissance masterpiece widely taught in literature courses, though not as iconic in popular culture as Dracula or Don Quixote."
outlines-of-astronomy__herschel-john-frederick-william__1849,A24,7.0,"This 1849 astronomy textbook is entirely unsuitable for adaptation as a noir thriller—it's non-fiction educational material with no narrative, characters, or dramatic potential.","This is a non-fiction scientific treatise on astronomy by the 19th-century astronomer John Herschel, not a narrative fiction work—it's an educational/reference text covering observational astronomy and celestial mechanics.",5,"This is a scientific reference work, not a noir thriller; it has no thriller narrative whatsoever.",15,"A non-fiction astronomy manual lacks characters, plot, or dramatic tension required for dark noir cinema.",5,"The book targets astronomy students and enthusiasts, not A24's cinephile urban audience seeking narrative-driven character work.",0,"A static scientific reference text has no narrative structure, character arcs, or world-building to support sequels or adaptations.",10,"Without a dramatic narrative, this cannot be meaningfully adapted into any film budget tier.",25,"Herschel is historically significant among astronomers, but this technical manual is not a cultural touchstone for general audiences."
wheels__owen-wilfred__unk,A24,15.0,This title-author pairing cannot be confidently verified and appears to contain an attribution error; scoring is provisional pending manual research to identify the actual book.,"Not confidently recognized. Wilfred Owen (1893-1918) is primarily known as a World War I poet, not a novelist; no established novel titled ""Wheels"" is reliably attributed to him. This appears to be a data attribution error requiring manual research.",15,Cannot verify this is a noir thriller without knowing the actual book or correcting the author attribution.,15,Uncertain visual potential without confirmed plot details or genre.,15,Cannot assess character/theme fit to A24's audience without verifying the actual work.,10,Lacks sequel/world-building potential if unverified or if tied to a poet's work rather than a thriller narrative.,20,"Small-town settings are typically budget-friendly, but cannot confirm this book's scope without verification.",25,"Wilfred Owen is famous as a poet, but no well-known novel by him under this title exists in standard literary records."
the-adventures-of-ferdinand-count-fathom-complete__smollett-t-tobias__unk,A24,21.75,"Ferdinand Count Fathom is a fundamental mismatch for the mandate—a light picaresque comedy fundamentally misaligned with dark noir thriller requirements, lacking contemporary appeal, psychological depth, and budget-appropriate production scale.","The Adventures of Ferdinand Count Fathom is an 18th-century picaresque novel by Tobias Smollett following a rogue protagonist through a series of episodic misadventures and social escapades; it is a satirical comedy of manners, not a dark thriller.",5,A picaresque comedy of manners is fundamentally misaligned with noir thriller conventions.,25,"While episodic adventure narratives can be visually engaging, the tone is light and satirical rather than dark, making it a poor match for the requested mood.",15,An 18th-century picaresque rogue protagonist lacks the contemporary psychological depth or insider/whistleblower credibility that would resonate with A24's cinephile core audience.,30,"While episodic structure allows sequels, the lightweight picaresque form doesn't lend itself to the world-building depth implied by 'uncovers' in a noir context.",40,"Period piece production design and costuming would push costs upward, potentially exceeding A24's typical budget range for contained narratives.",20,"Smollett is a canonical 18th-century author, but this specific title is obscure to general audiences compared to his more famous works or contemporary titles."
eva-kilhaus__kivi-aleksis__unk,A24,15.0,"Without confident knowledge of this book's actual plot, genre, and themes, scores reflect uncertainty and cannot meaningfully assess fit against the noir thriller mandate.","Not confidently recognized. While Aleksis Kivi was a major 19th-century Finnish author, I cannot reliably confirm the plot, genre, or themes of a specific title ""Eva"" attributed to him without risking fabrication.",15,Cannot assess genre fit without confirmed knowledge of the book's actual content and themes.,15,Cannot evaluate visual/cinematic potential without understanding the book's narrative structure and tone.,15,Cannot assess how characters and themes would resonate with A24's target audience without knowing the book's specifics.,10,Cannot determine sequel or world-building potential without understanding the story's scope and resolution.,20,"19th-century Finnish literature typically implies modest, intimate settings compatible with A24's budget range, but cannot confirm without knowing this book's actual scope.",25,"Aleksis Kivi is a historically significant Finnish author, but this specific title has low recognition outside academic/specialist circles."
the-golden-bough__frazer-james-george__1890,A24,13.0,"The Golden Bough is fundamentally incompatible with the noir thriller mandate: it is a scholarly anthropological treatise, not narrative fiction, and lacks the plot, character, and genre elements required.","The Golden Bough is a foundational 1890 comparative anthropology/mythology text by James George Frazer examining rituals, religion, and magic across cultures through the lens of a cult at a sacred grove—not a noir thriller or narrative fiction.",5,"This is scholarly anthropology, not noir thriller at all.",15,"While mythological and ritualistic content could be visually striking, the work is an academic essay collection without narrative, plot, or cinematic structure.",10,"A dense, historically-framed academic work on comparative religion will alienate A24's cinephile audience expecting a character-driven insider thriller.",5,"As non-narrative scholarly analysis, there is no 'uncovering' plot or world to expand into sequels.",25,"Could theoretically be staged in small-town or period settings, but the source material offers no story logic to justify any budget scale.",60,"Well-known among academics and educated audiences as an influential text, but not widely recognized by general consumers or film audiences."
systeme-des-contradictions-economiques-ou-philosophie-de-la-misere__proudhon-pierre-joseph__1846,A24,1.8,"This political philosophy treatise is fundamentally unsuited for adaptation as a noir thriller or any narrative film, scoring near-zero across all mandate-relevant categories.","Not confidently recognized as a narrative fiction work. This is a work of 19th-century anarchist political and economic philosophy by Pierre-Joseph Proudhon, published in 1846, not a noir thriller or narrative fiction adaptable for film.",0,"This is political philosophy, not a noir thriller or any narrative fiction genre.",5,"Being a dense economic treatise with no narrative plot or characters, it has virtually no cinematic adaptability.",2,A theoretical philosophical text has no insider protagonist or character-driven narrative for A24's cinephile audience.,0,A non-narrative philosophical work cannot support sequels or world-building.,0,An abstract economics treatise has no small-town setting or physical production requirements to scope.,15,"Proudhon is historically significant to political theory, but this specific 1846 work is unknown to general audiences."
familiar-letters-on-chemistry-and-its-relation-to-commerce-physiology-and-agriculture__liebig-justus-von__1843,A24,4.25,"This is a 19th-century scientific textbook with zero narrative content, making it fundamentally unadaptable to the noir thriller mandate.","Not confidently recognized as a narrative work. This is a 19th-century chemistry textbook/educational treatise by Justus von Liebig discussing chemical principles and their applications to commerce, physiology, and agriculture—not fiction.",0,"This is a non-fiction scientific text, not a noir thriller.",5,An educational chemistry treatise has no narrative structure or dramatic tension to adapt visually.,0,No character-driven story or themes relevant to A24's cinephile audience exists in this academic work.,0,A scientific textbook offers no scope for sequel development or world-building.,15,"While a small-town setting could support contained budgets, this book is not narrative fiction and cannot be adapted into a film.",25,"Justus von Liebig is a historically significant chemist, but this specific title has minimal recognition beyond academic circles."
unknown__chekhov-anton__1897,A24,25.35,"Uncle Vanya is a misaligned source for this noir-thriller mandate: it's a literary psychological drama about stagnation and regret, not a plot-driven mystery where an insider uncovers dark secrets in a small town.","Uncle Vanya is a Chekhov play (1897) about provincial Russian family dynamics, resentment, and existential malaise—a character-driven drama centered on an aging intellectual who sacrifices his life for a wastrel brother-in-law, set in a rural estate with themes of regret and stagnation.",5,"This is a literary drama about interpersonal psychology, not a noir thriller with crime or mystery elements.",35,"While cinematically adaptable (Sokurov made a 1971 film), the play's strength lies in dialogue and internal conflict rather than visual spectacle or dark atmosphere.",25,The insider protagonist (Vanya) is sympathetic but passive and deeply melancholic; his existential despair may resonate with some A24 audiences but lacks the active agency or contemporary appeal the mandate implies.,10,A self-contained psychological character study with no mystery to uncover or world-building potential; no sequel or franchise angle.,60,"A small-estate setting with minimal action suits contained indie budgets, though the play's intimacy demands strong ensemble casting.",72,"Chekhov is canonical in world literature and theater; Uncle Vanya is one of his most performed plays, recognizable to educated/cultured audiences."
buzz-a-buzz__busch-wilhelm__unk,A24,22.75,"This title cannot be confidently matched to a real work by Busch, making it unsuitable for scoring against the noir-thriller mandate.","Not confidently recognized. ""Buzz a Buzz"" by Wilhelm Busch (1832-1908) does not match any known major work by this German humorist and illustrator, whose most famous work is ""Max and Moritz."" This title may be a mistranslation, variant title, or corpus attribution error.",5,"Cannot assess genre fit without confirmed plot; Busch is known for humorous/satirical works, not noir thrillers.",40,"Busch was a skilled illustrator so his works have visual potential, but without knowing this specific title's content, dark tone cannot be confirmed.",10,Busch's known works are comedic/satirical rather than psychological thrillers appealing to A24's cinephile audience.,15,Busch's 19th-century German comic stories lack the investigation/uncovering narrative framework needed for sequels.,60,"Small-town settings are budget-efficient, but Busch's historical period piece status would require production design investment.",25,"Busch is moderately recognized among literature/illustration scholars and German cultural audiences, but this specific title is not a canonical work."
the-memoirs-of-the-conquistador-bernal-diaz-del-castillo-vol-1-of-2-written-by-himself-containing-a-true-and-full-account-of-the-discovery-and-conquest-of-mexico-and-new-spain__diaz-del-castillo-bernal__unk,A24,17.5,"This historical memoir is fundamentally misaligned with A24's dark noir thriller mandate; it lacks contemporary mystery/investigation, requires epic-scale budgets, and offers minimal franchise potential.","A historical first-person account by Spanish conquistador Bernal Díaz del Castillo chronicling his participation in the conquest of Mexico and the Aztec Empire in the early 16th century, written decades after the events as a memoir detailing military campaigns, indigenous cultures, and colonial encounters.",5,A historical memoir is fundamentally incompatible with noir thriller conventions.,35,"While conquest narratives offer visual spectacle, the memoir form and historical distance undermine the dark, contemporary noir tone A24 is seeking.",20,A24's core 18-34 cinephile audience may find historical conquest narratives relevant but unlikely to connect with this particular memoir's colonial perspective or the 'insider' character archetype as envisioned.,15,"The story is historically concluded; while conquest narratives have sequel/prequel potential, Díaz's memoir itself offers limited 'uncovering' mystery or investigation structure.",15,Historical conquest epics typically demand large-scale battle sequences and period production design far exceeding A24's typical budget constraints.,40,"Bernal Díaz del Castillo is a well-known primary historical source among academics, but the title is unfamiliar to general audiences outside history circles."
das-leben-der-josefine-mutzenbacher__salten-felix__unk,A24,37.5,"While the book's Viennese insider setting and historical atmosphere offer visual merit, its erotic character-study structure fundamentally misaligns with noir-thriller genre expectations and discovery-driven plotting that the mandate requires.","This is a controversial semi-autobiographical novel by Felix Salten (author of Bambi) first published in the 1890s, depicting the life and sexual exploits of a Viennese courtesan named Josephine Mutzenbacher; it's a sexually explicit historical fiction work that combines eroticism with social commentary on turn-of-the-century Vienna, featuring an insider perspective on the underworld of prostitution and society.",25,"The book is erotic historical fiction, not a noir thriller—noir requires crime, investigation, and moral ambiguity in a darker, more cynical framework.",65,"Vienna's belle époque setting and decadent milieu offer rich visual potential, though the explicitly sexual content poses challenges for mainstream adaptation and may not align with A24's typical visual tone.",35,"The insider-courtesan perspective could intrigue A24's arthouse audience, but the dated eroticism and historical remove may not resonate with the 18-34 cinephile demographic as strongly as contemporary noir narratives.",15,The book is a contained character study with limited world-building or discovery-driven plot; there's little basis for sequels or extended mythology around 'uncovering' criminal networks or hidden truths.,70,"Vienna's historical setting and intimate scale suggest a contained period-piece budget in the $15-20M range, fitting A24's indie-to-mid-tier profiles well.",40,Salten is known primarily for Bambi; this novel is notorious in literary circles but remains obscure to general audiences due to its controversial content and limited English distribution.
system-des-heutigen-romischen-rechts__savigny-friedrich-carl-von__1840,A24,0.25,"This is a legal academic treatise, not a narrative fiction work, and is entirely unsuitable for adaptation as a noir thriller or any film project.","Not confidently recognized. ""System des heutigen römischen Rechts"" is a German-language legal treatise on Roman law by Friedrich Carl von Savigny, a foundational 19th-century legal scholar—a technical academic work, not a narrative fiction work suitable for film adaptation.",0,"This is a legal treatise on Roman law, not a noir thriller or any narrative fiction genre.",0,"As a dense academic legal text, it has no plot, characters, dialogue, or visual narrative to adapt.",0,"A scholarly legal work has no protagonist, character arc, or thematic appeal to A24's cinephile audience.",0,"An academic legal text has no world-building, mystery-uncovering narrative, or sequel potential.",0,There is no filmable story or setting to assess against any budget scale.,5,Savigny is historically significant to legal scholars but unknown to general audiences unfamiliar with 19th-century jurisprudence.
records-of-captain-clapperton-s-last-expedition-to-africa-vol-1-of-2__lander-richard__unk,A24,15.9,"This historical exploration memoir is fundamentally misaligned with the noir thriller mandate, lacking the genre, tone, character archetypes, and narrative mystery structure that A24 seeks.","This is a historical non-fiction account of Captain Hugh Clapperton's final expedition to West Africa in the 1820s-1830s, documenting exploration, geography, and encounters with indigenous peoples; it is a travel memoir/exploration narrative, not fiction.",5,A historical exploration memoir has virtually no overlap with noir thriller genre conventions.,25,"While expedition narratives can be visually rich, the book lacks the dark psychological tone, moral ambiguity, and narrative drive essential to noir adaptations.",10,19th-century exploration accounts don't align with A24's core cinephile audience expectations of character-driven insider narratives.,15,A two-volume historical account has limited sequel/spin-off potential compared to stories built on uncovering conspiracies or mysteries.,35,"A small-town setting fits A24's budget, but historical African expedition adaptations typically require larger production budgets than $15-20M.",8,This is an obscure 19th-century exploration journal with minimal modern cultural awareness or recognizable author branding.
canadian-perspectives-on-community-development__denis-maurice__unk,A24,3.1,This non-fiction academic work on Canadian community development is fundamentally misaligned with A24's dark noir thriller mandate and has no narrative or cinematic adaptation potential.,"Not confidently recognized—""Canadian Perspectives on Community Development"" appears to be a non-fiction academic or policy work on community development in Canada, not a noir thriller, and the author attribution to Denis, Maurice is uncertain given a confirmed data issue with author misattribution in this corpus.",5,"This is an academic/non-fiction work on community development, fundamentally incompatible with noir thriller genre.",2,"Non-fiction policy/academic content has minimal cinematic potential and lacks the dark, narratively driven tone required.",3,Academic non-fiction about community development would not resonate with A24's 18-34 cinephile audience expecting a character-driven thriller.,1,A non-fiction work on community development has no inherent sequel or world-building potential around an 'uncovering' narrative.,4,"Without a thriller narrative structure, budget scaling becomes irrelevant; this material is unsuitable for A24's film mandate regardless of setting.",5,"This is an obscure, likely academic title with minimal general audience recognition."
antony-and-cleopatra__shakespeare-william__1734,A24,26.0,"Despite exceptional name recognition, this classical romantic tragedy fundamentally misaligns with the noir-thriller mandate—it lacks genre conventions, urban darkness, investigative thrust, and small-town constraint.","Shakespeare's tragic play follows Mark Antony, a Roman leader torn between duty to Rome and his passionate love for Queen Cleopatra, ultimately leading to political and personal ruin as his neglect of military responsibilities ignites conflict with fellow triumvir Octavian. This is a classical historical tragedy, not a noir thriller.",5,"Ancient Roman tragedy bears no resemblance to noir thriller conventions—no detective mystery, no shadowy urban corruption, no morally gray crime narrative.",55,"While highly visual with grand sets, costumes, and spectacle, the tone is classical romance and tragedy rather than dark noir—lacks the atmospheric grimness A24 would expect.",20,"A24's 18-34 cinephile demographic may appreciate the material intellectually, but an insider uncovering corruption doesn't map to a classical love-story protagonist caught in political strife.",15,"While the play has historical depth, 'uncovers' implies investigative momentum—Antony's arc is decline, not discovery of new revelations that could spawn sequels.",35,"Small-town setting requirement clashes with Antony and Cleopatra's epic scope spanning Rome, Egypt, and Mediterranean locales—inherently a large-budget spectacle.",90,Shakespeare's most famous tragedies are universally recognized; Antony and Cleopatra is canonical and has influenced centuries of Western literature and culture.
a-q-zheng-zhuan__xun-lu__1926,A24,0.25,This book cannot be reliably scored against the A24 mandate because the exact title/author pairing is not confidently recognized in standard bibliographies.,"Not confidently recognized. ""A Q zheng zhuan"" does not match any known work by Lu Xun that I can reliably identify; the title appears to be either a transliteration issue, a cataloging error, or an obscure piece not in standard English-language Lu Xun bibliographies.",0,Cannot assess genre fit without confident knowledge of the actual book's content.,0,"Cannot assess visual adaptability without knowing the book's plot, tone, or style.",0,Cannot assess character/theme fit without confident knowledge of the book's actual content.,0,Cannot assess sequel/world-building potential without knowing the book's narrative scope.,0,Cannot assess budget implications without understanding the book's setting and scale.,5,"Lu Xun is a canonical Chinese modernist author, but this specific title is not recognized and likely has minimal English-language name recognition."
immensee__storm-theodor__unk,A24,28.25,"Immensee is fundamentally misaligned with the noir-thriller mandate—it's a lyrical Romantic novella about memory and lost love with minimal dramatic tension, mystery, or insider-uncovering narrative drive.","Immensee is a novella by Theodor Storm, a 19th-century German Romantic work about nostalgia and lost love set in a small North German town, focusing on a man's reflections on a childhood romance that ended in disappointment—it's a lyrical, introspective meditation on memory rather than a plot-driven thriller.",15,"This is a melancholic Romantic novella with introspection and memory as core themes, not a noir thriller with crime or mystery elements.",40,"The atmospheric small-town setting and nostalgic mood have visual potential, but the interior emotional focus and lack of action make it less cinematically gripping than a dark thriller demands.",25,"A24's young urban cinephile audience typically favors psychological tension or transgressive narratives; this gentle, melancholic character study lacks the edgy insider perspective and conflict they gravitate toward.",10,"This introspective character study offers minimal world-building, sequelization, or investigative/uncovering narrative momentum.",75,"Small German town setting with minimal plot demands a contained, modest-budget production perfectly aligned with A24's indie scale.",20,Theodor Storm is recognized in German/European literary circles but remains obscure to general English-language audiences outside academia.
winnetou__may-karl__1893,A24,25.5,"Winnetou is a fundamental genre mismatch—a 19th-century romantic Western adventure with colonial themes, not a dark noir thriller about insider investigation.","Winnetou is a classic adventure novel by Karl May (1893) following a German protagonist who befriends the Apache chief Winnetou in the American Old West; primarily an adventure/colonial romance with romanticized Indigenous themes, not a noir thriller.",5,"This is a 19th-century Western adventure novel, fundamentally misaligned with noir thriller conventions.",45,"While the Old West setting offers visual potential, the romantic/adventure tone and colonial framing conflict with the required dark noir mood.",15,"The protagonist is a romanticized European adventurer, and the dated colonial perspective on Indigenous peoples would alienate A24's 18-34 cinephile audience.",20,"While the book has historical sequel potential, the 'uncovering' action doesn't drive the narrative, which centers on adventure and friendship rather than mystery or investigation.",60,"A small-town/frontier setting naturally fits A24's budget constraints, though a Western adaptation could require significant period production costs.",25,"Winnetou is historically significant in German literature and Western fan circles, but lacks mainstream recognition among general U.S. audiences today."
the-mysterious-rider__grey-zane__1921,A24,45.25,"A classic Western adventure with period charm and some mystery appeal, but fundamentally misaligned with A24's dark noir-thriller mandate; the book's earnest frontier moral tone and adventure focus clash with the cynical, morally ambiguous sensibility the mandate requires.","A 1921 Western by Zane Grey about a mysterious masked rider who uncovers a criminal conspiracy in a small frontier town. The novel blends Western adventure with elements of mystery and moral intrigue, featuring themes of justice and hidden identity.",35,"Zane Grey's Western adventure bears some mystery elements but is fundamentally a frontier adventure, not a noir thriller with the cynical, corrupt tone A24 seeks.",60,"The masked rider concept and small-town intrigue offer strong visual/cinematic potential, though the 1921 Western setting and adventure-focused tone lack noir's dark atmospheric edge.",45,"The insider-as-masked-outsider archetype appeals to A24's indie sensibility, but the earnest Western morality plays differently than the morally ambiguous protagonist A24's core audience expects.",30,"While the masked rider concept has sequel potential, the plot-driven mystery structure of a single town conspiracy offers limited world-building or franchise expansion opportunities.",70,"A frontier small-town setting naturally suggests contained, location-focused production within A24's typical budget range without major spectacle requirements.",55,"Zane Grey is a canonical Western author known to literary and genre audiences, though *The Mysterious Rider* is not among his most famous titles like *Riders of the Purple Sage*."
yuri-andropov-a-secret-passage-into-the-kremlin__solovyov-vladimir__unk,A24,21.75,"This title fundamentally misaligns with the noir thriller mandate—it appears to be historical non-fiction rather than genre fiction, making it unsuitable for A24's stated acquisition criteria.","Not confidently recognized. The title suggests a biographical or historical work about Soviet leader Yuri Andropov and the Kremlin, but without verified plot/theme information, I cannot reliably score this against the noir thriller mandate.",15,A historical/biographical work about a Soviet leader does not fit a noir thriller genre.,25,"Historical non-fiction or biography typically lacks the dark, visceral visual storytelling style A24's mandate requires.",20,Soviet political biography would not resonate with A24's 18-34 cinephile audience seeking a character-driven insider thriller.,10,A historical account of a deceased Soviet leader offers minimal opportunity for sequel worldbuilding around uncovering mysteries.,50,"A small-town setting is not evident in a Kremlin-focused work, and production scale would depend on adaptation approach.",25,Yuri Andropov is historically significant but not widely recognized by general U.S. audiences; this specific title is obscure.
the-pink-fairy-book__lang-andrew__1897,A24,31.25,"The Pink Fairy Book is a charming classic fantasy collection entirely misaligned with the noir thriller mandate, offering no investigative plot, dark tone, or insider protagonist elements A24 seeks.","The Pink Fairy Book is Andrew Lang's 1897 collection of fairy tales and folklore from various cultures, featuring whimsical fantasy stories with magical elements, princes, princesses, and enchanted adventures. It is a classic children's/YA fantasy anthology with no noir, thriller, or investigative elements.",5,Fairy tale collection is fundamentally incompatible with noir thriller genre expectations.,70,"Fairy tales are highly visual with magical imagery, but lack the dark, gritty aesthetic noir demands.",15,Whimsical fantasy stories skew young/family audiences rather than A24's core 18-34 cinephile demographic seeking insider-protagonist narratives.,20,"While episodic anthology structure allows multiple adaptations, none involve investigation/uncovering that drives franchise world-building.",60,"Small-town fairy tale settings align with contained budgets, but magic-heavy fantasy typically requires higher production budgets than A24's typical range.",65,"Andrew Lang's Fairy Books are well-known classic children's literature, though not widely recognized by current A24 audience demographics."
alice-s-adventures-in-wonderland__james-henry__1865,A24,24.25,"Alice's Adventures in Wonderland is fundamentally misaligned with an A24 dark noir thriller mandate—it's a whimsical children's fantasy, not a genre thriller, and would require a complete thematic reinvention to fit this studio's aesthetic.","Alice's Adventures in Wonderland is a whimsical fantasy novel by Lewis Carroll (not Henry James) about a young girl who falls down a rabbit hole into a surreal, logic-defying world filled with peculiar characters and absurdist scenarios. It's a children's classic centered on imaginative escapism, wordplay, and dreamlike wonder rather than any noir or thriller elements.",5,A fantastical children's book is fundamentally incompatible with noir thriller conventions.,35,"While visually rich and imaginative, the tone is whimsical and surreal rather than dark.",10,"The protagonist is a child, and the themes focus on childhood wonder, not insider intrigue that would resonate with A24's core 18-34 cinephile audience.",20,"Though it has sequels historically, the material lacks the world-building tension needed for 'uncovering' a thriller narrative.",45,"A small-scale story about one girl in a contained dream-world could fit modest budgets, but the surreal visuals demand significant design investment.",90,"One of the most famous children's books ever written, widely known across all demographics."
recollections-of-forty-years__lesseps-ferdinand-de__unk,A24,13.75,This historical memoir has no meaningful alignment with the dark noir thriller mandate—it is a biographical account fundamentally at odds with both genre and thematic requirements.,"Not confidently recognized. This title appears to be a memoir or personal account by Ferdinand de Lesseps (1805-1894), the French engineer famous for the Suez Canal project, rather than a noir thriller. Without a verified summary, I cannot reliably assess genre or thematic fit to the A24 mandate.",5,A memoir/historical personal account is fundamentally incompatible with noir thriller genre.,15,"While historical memoirs can be dramatized, the introspective recollection format lacks the dark visual/cinematic intensity the mandate requires.",10,A 19th-century engineer's memoir about canal construction does not center the 'insider uncovering' character dynamic that would resonate with A24's 18-34 cinephile audience.,8,Historical memoir format with a single real figure offers minimal sequel or world-building potential around 'uncovering' narratives.,25,"While a small-town setting suits budget constraints, a biographical period piece about Lesseps would likely require expensive historical production design and international locations (Egypt/Panama).",60,"Ferdinand de Lesseps is historically significant (Suez Canal), but 'Recollections of Forty Years' itself is not a widely recognized popular title in general culture."
alcools__apollinaire-guillaume__unk,A24,15.25,"This modernist poetry collection is fundamentally incompatible with a noir thriller mandate, lacking narrative, character, plot progression, and cinematic adaptability.","Alcools is a poetry collection by Guillaume Apollinaire (1913), not a prose narrative—it contains modernist poems exploring themes of love, memory, and urban life with experimental form and style, not a noir thriller plot.",5,Poetry collection has virtually no overlap with noir thriller genre conventions or narrative structure.,25,Lyrical poetry can be visually evocative but lacks the plot-driven dark narrative structure needed for cinematic adaptation.,10,Early modernist poetry has niche appeal; an insider protagonist archetype doesn't apply to a non-narrative poetry collection.,5,A poetry collection has no sequel potential or world-building capacity for exploration through an 'uncovering' action.,35,"Small-town setting doesn't apply to a poetry collection, though poetry readings could theoretically be low-budget adaptations.",45,"Apollinaire is known to literary scholars and educated audiences, but Alcools is not mainstream pop-culture familiar."
flower-fables__alcott-louisa-may__1854,A24,19.25,Flower Fables is a fundamentally poor fit for the noir thriller mandate—a whimsical 19th-century fairy tale collection has almost nothing in common with dark crime narratives or insider exposés.,"Flower Fables is a collection of fantastical short stories and fairy tales by Louisa May Alcott, originally published in 1854, featuring whimsical narratives about flowers, nature spirits, and moral lessons rather than crime or mystery.",5,"This is a collection of fairy tales and fantasy stories, not a noir thriller at all.",30,"While the fantastical elements could be visually interesting, the whimsical tone is fundamentally at odds with dark noir aesthetics.",15,The moralistic fairy tale content and character archetypes don't align with A24's core cinephile audience expecting a gritty insider narrative.,10,These are episodic fairy tales without a continuous narrative or world-building infrastructure for sequels or expanded stories.,40,"A small-town setting could fit budget constraints, but the fantastical elements might require higher production values than A24's typical range.",55,"Louisa May Alcott is famous, but Flower Fables is her lesser-known early work compared to Little Women."
intensity__owen-richard__unk,A24,21.75,"This title/author pairing cannot be confidently verified, making reliable scoring against the noir thriller mandate impossible without independent research to confirm the actual book's content and authorship.","Not confidently recognized; ""Intensity"" by Richard Owen (1892) is not a title I can reliably identify in my knowledge base, and the publication/author pairing appears unreliable given the data quality notes.",25,"Without confirmed knowledge of this book's actual genre, cannot assess noir thriller fit; assuming conservative score given uncertainty.",25,Cannot assess cinematic/dark tone qualities without knowing the actual book's narrative or stylistic content.,20,Insufficient knowledge of character types or themes to evaluate appeal to A24's 18-34 cinephile audience.,15,Cannot determine world-building or sequel potential from unconfirmed source material.,30,"19th-century publication suggests era-appropriate setting, but cannot verify small-town scope or production feasibility.",10,Richard Owen's 1892 book is not a widely known public title in contemporary general audience awareness.
lectures-to-my-students__spurgeon-charles__1875,A24,3.3,"This theological sermon collection is fundamentally misaligned with the noir thriller mandate—it contains no thriller elements, insider characters, mystery plots, or dramatic small-town setting that would justify A24 consideration.","Not confidently recognized as a noir thriller or mystery. Charles Spurgeon's ""Lectures to my students"" is a collection of sermons and theological teachings delivered to his ministerial students at the Metropolitan Tabernacle in 19th-century London, focused on Christian preaching and pastoral advice—entirely outside the thriller/crime genre.",2,Theological sermons have no noir or thriller elements whatsoever.,5,"Lecture-based content lacks dramatic narrative tension, visual conflict, or cinematic story structure.",3,19th-century religious instruction holds minimal appeal to A24's 18-34 cinephile demographic seeking character-driven thrillers.,1,Static theological lectures offer no mystery-driven 'uncovering' narrative or sequel-building potential.,4,"Even as a contained production, sermon lectures lack the dramatic action or location-based stakes that drive A24's budget decisions.",15,"Charles Spurgeon is historically significant in religious circles, but this specific work is obscure to general audiences and irrelevant to film culture."
